0	0	0	0	0	1
0.02	0	0	0	0	0.959803
0.04	0	0	0	0	0.839227
0.06	0	0	0	0	0.721531
0.08	0	0	0	0	0.613192
0.1	0	0	0	0	0.514022
0.12	0	0	0	0	0.423314
0.14	0	0	0	0	0.340369
0.16	0	0	0	0	0.264544
0.18	0	0	0	0	0.195249
0.2	0	0	0	0	0.131941
0.22	0	0	0	0	0.0741236
0.24	0	0	0	0	0.0213409
0.26	0	0	0	0	-0.0268254
0.28	0	0	0	0	-0.0707585
0.3	0	0	0	0	-0.11081
0.32	0	0	0	0	-0.147303
0.34	0	0	0	0	-0.180534
0.36	0	0	0	0	-0.210772
0.38	0	0	0	0	-0.238269
0.4	0	0	0	0	-0.26325
0.42	0	0	0	0	-0.285928
0.44	0	0	0	0	-0.306492
0.46	2	0	0	0	-0.32512
0.48	1.9796	0	0	0	-0.301975
0.5	1.79192	0	0	0	-0.277627
0.52	1.60562	0	0	0	-0.258773
0.54	1.43417	0	0	0	-0.245489
0.56	1.27743	0	0	0	-0.237044
0.58	1.13416	0	0	0	-0.232701
0.6	1.00315	0	0	0	-0.231806
0.62	0.883276	0	0	0	-0.233786
0.64	0.773552	0	0	0	-0.238141
0.66	0.673067	0	0	0	-0.244437
0.68	0.581004	0	0	0	-0.252296
0.7	0.496621	0	0	0	-0.261392
0.72	0.419246	0	0	0	-0.271442
0.74	0.348272	0	0	0	-0.282203
0.76	0.283147	0	0	0	-0.293467
0.78	0.223371	0	0	0	-0.305055
0.8	0.168491	0	0	0	-0.316816
0.82	0.118092	0	0	0	-0.32862
0.84	0.0718021	0	0	0	-0.34036
0.86	0.0292785	0	0	0	-0.351945
0.88	-0.00978854	0	0	0	-0.363301
0.9	-0.0456817	0	0	0	-0.374366
0.92	-0.0786586	0	0	0	-0.38509
0.94	-0.108954	3	0	0	-0.395435
0.96	-0.136782	2.9794	0	0	-0.345374
0.98	-0.102343	2.70698	0	0	-0.295316
1	-0.0650482	2.43682	0	0	-0.253903
1.02	-0.0349288	2.18922	0	0	-0.22105
1.04	-0.0123535	1.96379	0	0	-0.195771
1.06	0.00352263	1.75849	0	0	-0.177099
1.08	0.0135887	1.57134	0	0	-0.164166
1.1	0.018647	1.40056	0	0	-0.156202
1.12	0.0194084	1.24455	0	0	-0.152525
1.14	0.0165014	1.10187	0	0	-0.152529
1.16	0.0104804	0.971258	0	0	-0.155677
1.18	0.00183439	0.851545	0	0	-0.161495
1.2	-0.0090058	0.741704	0	0	-0.169564
1.22	-0.0216612	0.64081	0	0	-0.179513
1.24	-0.0357988	0.548032	0	0	-0.191016
1.26	-0.0511265	0.462623	0	0	-0.203784
1.28	-0.0673882	0.384222	0	0	-0.217566
1.3	-0.0843603	0.311937	0	0	-0.232132
1.32	-0.103287	0.245198	0	0	-0.247288
1.34	-0.122441	0.183513	0	0	-0.262892
1.36	-0.141568	0.126412	0	0	-0.278797
1.38	-0.16056	0.073499	0	0	-0.294865
1.4	-0.179335	0.0244242	0	0	-0.310982
1.42	-0.197821	-0.0211289	0	0	-0.327045
1.44	-0.21596	-0.0634455	0	0	-0.34297
1.46	-0.233701	-0.102784	0	0	-0.358681
1.48	-0.251002	-0.139377	0	0	-0.374116
1.5	-0.251002	-0.173436	0	0	-0.389223
1.52	-0.26783	-0.205154	0	0	-0.40362
1.54	-0.29996	-0.234704	0	5	-0.417618
1.56	-0.215223	-0.162243	0	4.959	-0.331538
1.58	-0.128786	-0.0887702	0	4.497	-0.241882
1.6	-0.0551252	-0.0268812	0	4.04135	-0.165056
1.62	0.00556182	0.0235503	0	3.62603	-0.101738
1.64	0.0545932	0.0637252	0	3.24996	-0.0506078
1.66	0.0932969	0.0947994	0	2.9093	-0.01026
1.68	0.0932969	0.117812	0	2.60036	0.0198104
1.7	0.122872	0.139873	0	2.31984	0.0417013
1.72	0.144993	0.155052	0	2.31984	0.0622027
1.74	0.159958	0.163673	0	2.06475	0.076064
1.76	0.168702	0.166624	0	1.83291	0.0836251
1.78	0.176631	0.164633	0	1.6219	0.0856413
1.8	0.179364	0.15843	0	1.42917	0.0829172
1.82	0.177171	0.148564	0	1.2529	0.0760749
1.84	0.170655	0.135511	0	1.09143	0.0656538
1.86	0.160388	0.119697	0	0.943248	0.0521334
1.88	0.146879	0.119697	0	0.807003	0.0359405
1.9	0.130583	0.101502	0	0.681227	0.01782
1.92	0.111902	0.0812658	0	0.565063	-0.00221739
1.94	0.0911983	0.0592878	0	0.457594	-0.0239058
1.96	0.0687887	0.0111834	0	0.357981	-0.0469845
1.98	0.044956	-0.0144821	0	0.26547	-0.0717119
2	0.0199512	-0.0409573	0	0.17939	-0.0974043
2.02	-0.00601308	-0.068079	0	0.0991316	-0.123831
2.04	-0.0327394	-0.0956938	0	0.0241565	-0.150819
2.06	-0.0600517	-0.123663	4	-0.0460134	-0.178219
2.08	-0.0877933	-0.0718684	3.9592	-0.0318108	-0.125904
2.1	-0.0358309	-0.0194423	3.58868	-0.0144603	-0.0713965
2.12	0.0665723	0.0238709	3.22181	-0.00252875	-0.0260209
2.14	0.101645	0.0580872	2.88792	0.00393216	0.0108204
2.16	0.128854	0.0841078	2.58517	0.00546645	0.0388651
2.18	0.14844	0.102772	2.31035	0.00254959	0.0589878
2.2	0.14844	0.114864	2.06047	-0.00436172	0.072054
2.22	0.167776	0.121076	1.83287	-0.0148677	0.0785882
2.24	0.168797	0.122158	1.62514	-0.0286089	0.0797948
2.26	0.165048	0.118417	1.43515	-0.0452656	0.0760597
